Pharmaceutical Society of Ireland,,,,,,,,,
This data is correct at: 01.07.2022,,,,,,,,,
Registration Number,Trading Name,Street 1,Street 2,Street 3,Town,County,RPB Owner,Eircode,Address 1
5202,Roebuck Pharmacy,7 Farmhill Road,,,Goatstown,Dublin 14,John Finnegan,,"7 Farmhill Road
Goatstown, Dublin 14"
5203,Bradley's Pharmacy,5 Lower Kilmacud Road,,,Stillorgan,Co. Dublin,Siofra Limited,,"5 Lower Kilmacud Road
Stillorgan, Co. Dublin"
5213,Shelbourne Pharmacy Limited,19 Irishtown Road,,,Ringsend,Dublin 4,Shelbourne Pharmacy Limited,,"19 Irishtown Road
Ringsend, Dublin 4"
5216,LloydsPharmacy,Bird Avenue,,,Clonskeagh,Dublin 14,Lloydspharmacy Ireland Limited,,"Bird Avenue
Clonskeagh, Dublin 14"
5218,Stanley's CarePlus Pharmacy,Mountview Shopping Centre,,,Blanchardstown,Dublin 15,Stanley's Pharmacy Ltd,,"Mountview Shopping Centre
Blanchardstown, Dublin 15"
5219,Superpharm Chemists,Unit 8,Main Centre,,Finglas,Dublin 11,Yvon Limited,,"Unit 8
Main Centre
Finglas, Dublin 11"
5225,Terenure Life Pharmacy,86 Terenure Road East,,,Terenure,Dublin 6,Maurice O'Connell,D06 W7R2,"86 Terenure Road East
Terenure, Dublin 6 D06 W7R2"
5230,LloydsPharmacy,8 The Mall,,,Donnybrook,Dublin 4,Lloydspharmacy Ireland Limited,,"8 The Mall
Donnybrook, Dublin 4"
5232,Walsh's Pharmacy,491 South Circular Road,,,Rialto,Dublin 8,Valona Limited,,"491 South Circular Road
Rialto, Dublin 8"
5237,Ahern's Pharmacy,Farranfore,,,Killarney,Co. Kerry,Rivergrove Retail Ltd,,"Farranfore
Killarney, Co. Kerry"
5240,Bandon Medical Hall Limited,5/6 Bridge Street,,,Bandon,Co. Cork,Bandon Medical Hall Limited,,"5/6 Bridge Street
Bandon, Co. Cork"
5241,Barrett's Pharmacy,Barrack Street,,,Castlecomer,Co. Kilkenny,Giles Barrett,,"Barrack Street
Castlecomer, Co. Kilkenny"
5243,Walsh's Pharmacy,61 Main Street,,,Loughrea,Co. Galway,Pharmacy Care Services Limited,,"61 Main Street
Loughrea, Co. Galway"
5245,Begley's Pharmacy Ltd.,The Diamond,,,Donegal Town,Co. Donegal,Begley's Pharmacy Ltd,,"The Diamond
Donegal Town, Co. Donegal"
5248,Bishopstown Pharmacy,"Looneys Cross, Bishopstown Road",Bishopstown,,Cork,Co. Cork,Ballinlough O'Sullivan's Pharmacy Limited,,"Looneys Cross, Bishopstown Road
Bishopstown
Cork, Co. Cork"
5252,Bluetts Pharmacy,1 Pearse Street,,,Clonakilty,Co. Cork,T.A. Bluett Chemist Ltd,,"1 Pearse Street
Clonakilty, Co. Cork"
5253,Mervue Pharmacy,6 Plunkett Avenue,Old Mervue,,Galway City,Co. Galway,Mervue Pharmacy Limited,,"6 Plunkett Avenue
Old Mervue
Galway City, Co. Galway"
5256,Grogan's Pharmacy and Opticians,Unit 2 And 3 Main Street,Ballina,,Killaloe,Co. Tipperary,R.B. Pharmacy Limited,,"Unit 2 And 3 Main Street
Ballina
Killaloe, Co. Tipperary"
5259,The Ardara Pharmacy,The Diamond,,,Ardara,Co. Donegal,John M Kelly (MPSI) Ltd,,"The Diamond
Ardara, Co. Donegal"
5260,Ryan McDowell's Pharmacy Limited,Green Street,,,Callan,Co. Kilkenny,Ryan McDowell Pharmacy Limited,,"Green Street
Callan, Co. Kilkenny"
5261,Brassil's Pharmacy,Main Street,,,Ballyheigue,Co. Kerry,Brassil's Chemist Limited,,"Main Street
Ballyheigue, Co. Kerry"
5264,Britton's Pharmacy,Main Street,,,Donegal Town,Co. Donegal,Belmire Limited,,"Main Street
Donegal Town, Co. Donegal"
5265,John D. Broderick Limited,84 Barrack Street,,,Cork,Co. Cork,John D. Broderick Limited,,"84 Barrack Street
Cork, Co. Cork"
5267,Kelly's Pharmacy,Church Street,,,Athenry,Co. Galway,Declan Coyle Limited,,"Church Street
Athenry, Co. Galway"
5269,Haven Pharmacy Brosnan,19 Henry Street,,,Kenmare,Co. Kerry,Thomas J Brosnan Limited,,"19 Henry Street
Kenmare, Co. Kerry"
5270,McCrystal's Staywell Pharmacy,78 Market Street,,,Cootehill,Co. Cavan,Bellamont Medical Limited,,"78 Market Street
Cootehill, Co. Cavan"
5272,O'Connell's Medical Hall,19 Abbey Street,,,Ennis,Co. Clare,Mortimer O'Connell,,"19 Abbey Street
Ennis, Co. Clare"
5275,Burke's Pharmacy Limited,3 North Main Street,,,Naas,Co. Kildare,Burke's Pharmacy (Naas) Limited,,"3 North Main Street
Naas, Co. Kildare"
5277,Murtagh's Life Pharmacy - Cavan Town,25 Main Street,,,Cavan Town,Co. Cavan,Sellmane Limited,,"25 Main Street
Cavan Town, Co. Cavan"
5278,Ryans Pharmacy,Edenderry Shopping Centre,,,Edenderry,Co. Offaly,Pharmacy O'Riain Limited,,"Edenderry Shopping Centre
Edenderry, Co. Offaly"
5282,Butler's Pharmacy,Main Street,,,Birr,Co. Offaly,Butlers Pharmacy Birr Limited,,"Main Street
Birr, Co. Offaly"
5283,Byrne's Late Night Pharmacy,1-3 Church Street,,,Dundalk,Co. Louth,Conlon Pharmacy Limited,,"1-3 Church Street
Dundalk, Co. Louth"
5284,Ferns Pharmacy,Aldercourt,Main Street,,Ferns,Co. Wexford,Mulmax Limited,,"Aldercourt
Main Street
Ferns, Co. Wexford"
5286,C.H. Chemists (Tralee) Limited,31 The Mall,,,Tralee,Co. Kerry,C.H. Chemists (Tralee) Limited,,"31 The Mall
Tralee, Co. Kerry"
5288,Conroy's Pharmacy,Main Street,,,Mountrath,Co. Laois,Peter Conroy Pharmacy Limited,,"Main Street
Mountrath, Co. Laois"
5289,Callan's Pharmacy,Main Street,,,Kingscourt,Co. Cavan,Hemfield Limited,,"Main Street
Kingscourt, Co. Cavan"
5290,Heaney's Pharmacy,Bridge Street,,,Westport,Co. Mayo,Heaney's Pharmacy Limited,,"Bridge Street
Westport, Co. Mayo"
5292,Drimoleague Pharmacy,Main Street,,,Drimoleague,Co. Cork,Drimoleague Pharmacy Ltd,,"Main Street
Drimoleague, Co. Cork"
5293,John Carey Pharmacist Limited,Main Street,,,Clogheen,Co. Tipperary,John Carey Pharmacist Limited,,"Main Street
Clogheen, Co. Tipperary"
5294,Raphoe Pharmacy,The Diamond,,,Raphoe,Co. Donegal,Raphoe Pharmacy Ltd,,"The Diamond
Raphoe, Co. Donegal"
5295,Allcare Pharmacy,Market Square,,,Carlingford,Co. Louth,Carlingford Pharmacy Limited,,"Market Square
Carlingford, Co. Louth"
5296,O'Neill Street Pharmacy (Connolly's),13 O'Neill Street,,,Carrickmacross,Co. Monaghan,O'Neill Street Pharmacy Limited,,"13 O'Neill Street
Carrickmacross, Co. Monaghan"
5297,Carroll's Pharmacy,24 Ballybricken,,,Waterford City,Co. Waterford,The Waterford Drug Company Limited,,"24 Ballybricken
Waterford City, Co. Waterford"
5299,O'Sullivan's Pharmacy,2 Oakfield Lawn,Ballinlough Road,,Cork,Co. Cork,Ballinlough O'Sullivan's Pharmacy Limited,,"2 Oakfield Lawn
Ballinlough Road
Cork, Co. Cork"
5300,Casserly's Pharmacy,Lower Main Street,,,Abbeyleix,Co. Laois,Casserly Pharmacy Limited,R32 ND30,"Lower Main Street
Abbeyleix, Co. Laois R32 ND30"
5302,Bonners Pharmacy,Main Street,,,Ballybofey,Co. Donegal,Bonners Pharmacy Ltd.,,"Main Street
Ballybofey, Co. Donegal"
5305,Quinns Pharmacy,Georges Street (Bridge Street),,,Gort,Co. Galway,Brendan Quinn Pharmacy Limited,,"Georges Street (Bridge Street)
Gort, Co. Galway"
5307,Life Pharmacy Kilkelly,Main Street,,,Kilkelly,Co. Mayo,Coffeys Pharmacy Limited,,"Main Street
Kilkelly, Co. Mayo"
5314,Haven Pharmacy Connollys,59 Main Street,,,Dungarvan,Co. Waterford,Connolly Chemists (Dungarvan) Limited,,"59 Main Street
Dungarvan, Co. Waterford"
5317,Sean Conway Limited,Main Street,,,Ashbourne,Co. Meath,Sean Conway Limited,,"Main Street
Ashbourne, Co. Meath"
5319,Co-operative Animal Health ,Tullow Industrial Estate,,,Tullow,Co. Carlow,Co-operative Animal Health Limited,,"Tullow Industrial Estate
Tullow, Co. Carlow"
5320,LloydsPharmacy,53 William Street,,,Limerick,Co. Limerick,Lloydspharmacy Ireland Limited,,"53 William Street
Limerick, Co. Limerick"
5323,Corless Pharmacy,44 Dublin Street,,,Carlow Town,Co. Carlow,Ultrapark Limited,,"44 Dublin Street
Carlow Town, Co. Carlow"
5326,Cosgrove's Pharmacy Limited,Edward Street,,,Newbridge,Co. Kildare,Cosgrove's Pharmacy Limited,,"Edward Street
Newbridge, Co. Kildare"
5329,Cotter's Pharmacy,48 Main Street,,,Carrigtwohill,Co. Cork,Cotter's Pharmacy Ltd,,"48 Main Street
Carrigtwohill, Co. Cork"
5338,Crowley's Pharmacy Limited,81 Main Street,,,Castleisland,Co. Kerry,Crowley's Pharmacy Limited,,"81 Main Street
Castleisland, Co. Kerry"
5341,Tully's Pharmacy,45 Main Street,,,Edgeworthstown,Co. Longford,Edgeworthstown Pharmacy Limited,,"45 Main Street
Edgeworthstown, Co. Longford"
5342,Leavy's Pharmacy,94 Clanbrassil Street,,,Dundalk,Co. Louth,Leavy's Pharmacy Limited,,"94 Clanbrassil Street
Dundalk, Co. Louth"
5343,Leavy's Pharmacy,Main Street,,,Castleblayney,Co. Monaghan,West Street Pharmacy Limited,,"Main Street
Castleblayney, Co. Monaghan"
5348,The Square Pharmacy Limited,The Square,,,Tuam,Co. Galway,The Square Pharmacy Tuam Limited,,"The Square
Tuam, Co. Galway"
5349,Davis Pharmacy,Eyrecourt,,,Ballinasloe,Co. Galway,E & B Pharmacy Limited,,"Eyrecourt
Ballinasloe, Co. Galway"
5350,Mulligan's Pharmacy,Waterford S. Centre,Lisduggan,,Waterford City,Co. Waterford,L. D. Pharmacy (Waterford) Limited,,"Waterford S. Centre
Lisduggan
Waterford City, Co. Waterford"
5355,Summerhill Pharmacy,Trim Road,,,Summerhill,Co. Meath,Summerhill Pharmacy Limited,,"Trim Road
Summerhill, Co. Meath"
5356,Horgan's Pharmacy,6 Barrack Street,South Gate Bridge,,Cork,Co. Cork,Lynch's Quay Pharmacy Limited,,"6 Barrack Street
South Gate Bridge
Cork, Co. Cork"
5358,Life Pharmacy Balla ,Main Street,,,Balla,Co. Mayo,Westchem Limited,,"Main Street
Balla, Co. Mayo"
5360,Hickey's Pharmacy,Dundalk Shopping Centre,,,Dundalk,Co. Louth,Philip Dillon Limited,,"Dundalk Shopping Centre
Dundalk, Co. Louth"
5361,Flynn's Pharmacy,Main Street,,,Falcarragh,Co. Donegal,Gearoid O Floinn Teoranta,,"Main Street
Falcarragh, Co. Donegal"
5364,McCarthy's Pharmacy,35 Main Street,,,Charleville,Co. Cork,McCarthy Pharmacy (Charleville) Ltd,,"35 Main Street
Charleville, Co. Cork"
5367,McCauley Health & Beauty Pharmacy,31 Court Street,,,Enniscorthy,Co. Wexford,Sam McCauley Chemists (Enniscorthy) Ltd,,"31 Court Street
Enniscorthy, Co. Wexford"
5370,McCormack's Pharmacy,Main Street,,,Maynooth,Co. Kildare,Calenture Limited,,"Main Street
Maynooth, Co. Kildare"
5376,Cunningham's Pharmacy,3 Killarney Park,,,Bray,Co. Wicklow,Chasmae Morresc Limited,,"3 Killarney Park
Bray, Co. Wicklow"
5378,Adare Pharmacy,Main Street,,,Adare,Co. Limerick,J & C Collins Pharmacy (Adare) Limited,,"Main Street
Adare, Co. Limerick"
5381,Mark Wright totalhealth Pharmacy,Main Street,,,Tyrrellspass,Co. Westmeath,Mark Wright Pharmacy Limited,,"Main Street
Tyrrellspass, Co. Westmeath"
5382,Daly's Pharmacy,17 South Main Street,,,Naas,Co. Kildare,Mistylan Limited,,"17 South Main Street
Naas, Co. Kildare"
5383,O'Neill's Allcare Pharmacy,West Main Street,,,Cahirsiveen,Co. Kerry,Dan Sean's Pharmacy Limited,,"West Main Street
Cahirsiveen, Co. Kerry"
5390,Devlin's Medical Hall,50 Liberty Square,,,Thurles,Co. Tipperary,Carmel Sammon,,"50 Liberty Square
Thurles, Co. Tipperary"
5393,O'Keeffe's Pharmacy Limited,Strand Street,,,Dingle,Co. Kerry,O'Keeffe's Pharmacy Limited,V92 NX23,"Strand Street
Dingle, Co. Kerry V92 NX23"
5394,Dermot O'Neill Pharmacy (Portlaw) Limited,1 Brown Street,,,Portlaw,Co. Waterford,Dermot O'Neill Pharmacy (Portlaw) Limited,,"1 Brown Street
Portlaw, Co. Waterford"
5395,Foxford Pharmacy Ltd,Admiral House,,,Foxford,Co. Mayo,Foxford Pharmacy Ltd,,"Admiral House
Foxford, Co. Mayo"
5396,Foster's Pharmacy Limited,Main Street,,,Arva,Co. Cavan,Foster's Pharmacy Limited,,"Main Street
Arva, Co. Cavan"
5397,Carn Pharmacy Limited,Unit 1,Millbrae Business Park,,Carndonagh,Co. Donegal,Carn Pharmacy Limited,,"Unit 1
Millbrae Business Park
Carndonagh, Co. Donegal"
5400,Dolan's Pharmacy,90 Glaslough Street,,,Monaghan Town,Co. Monaghan,JPD Pharmacy Ltd,,"90 Glaslough Street
Monaghan Town, Co. Monaghan"
5401,Dolan's Pharmacy,5 William Street,,,Tullamore,Co. Offaly,Dolan's Pharmacy Ltd,,"5 William Street
Tullamore, Co. Offaly"
5402,LloydsPharmacy,Roxboro Shopping Centre,,,Limerick,Co. Limerick,Lloydspharmacy Ireland Limited,,"Roxboro Shopping Centre
Limerick, Co. Limerick"
5405,Dorrian's Pharmacy Ltd.,The Diamond,,,Ballyshannon,Co. Donegal,Dorrian's Pharmacy Ltd,,"The Diamond
Ballyshannon, Co. Donegal"
5406,LloydsPharmacy,Oakville Shopping Centre,,,Clonmel,Co. Tipperary,Lloydspharmacy Ireland Limited,,"Oakville Shopping Centre
Clonmel, Co. Tipperary"
5407,Dowling's Pharmacy,Ardkeen Shopping Centre,Dunmore Road,,Waterford City,Co. Waterford,Declan Dowling Ltd,,"Ardkeen Shopping Centre
Dunmore Road
Waterford City, Co. Waterford"
5409,Duane Pharmacy,1 Society Street,,,Ballinasloe,Co. Galway,Duanes Pharmacy Limited ,,"1 Society Street
Ballinasloe, Co. Galway"
5413,Treacy's Pharmacy,Market Square,,,Castlebar,Co. Mayo,Tom Treacy (Castlebar) Limited,,"Market Square
Castlebar, Co. Mayo"
5415,Durrow Pharmacy,Mary Street,,,Durrow,Co. Laois,BTN Research Ltd,,"Mary Street
Durrow, Co. Laois"
5416,R.S.Eakin Limited,21 Main Street,,,Carrickmacross,Co. Monaghan,Mediman Limited,,"21 Main Street
Carrickmacross, Co. Monaghan"
5420,Elphin Pharmacy,Main Street,,,Elphin,Co. Roscommon,Elphin Pharmacy Limited,,"Main Street
Elphin, Co. Roscommon"
5421,MacManus Pharmacy,Main Street,,,Belturbet,Co. Cavan,J. McManus Chemist Limited,,"Main Street
Belturbet, Co. Cavan"
5423,LloydsPharmacy,Mullingar Shopping Centre,,,Mullingar,Co. Westmeath,Lloydspharmacy Ireland Limited,,"Mullingar Shopping Centre
Mullingar, Co. Westmeath"
5426,Farrell's Pharmacy ,16 Templeshannon,,,Enniscorthy,Co. Wexford,Farrell Chemists Limited,,"16 Templeshannon
Enniscorthy, Co. Wexford"
5427,Feely's totalhealth Pharmacy,Dublin Road,,,Tuam,Co. Galway,Feely's Pharmacy Limited,,"Dublin Road
Tuam, Co. Galway"
5434,Flanagan's totalhealth Pharmacy,92 Main Street,,,Headford,Co. Galway,Flanagan's Pharmacy Limited,,"92 Main Street
Headford, Co. Galway"
5439,Flynn's Pharmacy,The Square,,,Claremorris,Co. Mayo,Gerry Flynn (Claremorris) Limited,,"The Square
Claremorris, Co. Mayo"
5444,Morriseys Medical Hall ,66 Tullow Street,,,Carlow Town,Co. Carlow,Morrissey's Medical Hall Limited,,"66 Tullow Street
Carlow Town, Co. Carlow"
5445,Superpharm,78 West Street,,,Drogheda,Co. Louth,Chevionne Limited,,"78 West Street
Drogheda, Co. Louth"
5448,Fortune's Pharmacy,82 North Main Street,,,Wexford Town,Co. Wexford,Fortune's Chemist Limited,,"82 North Main Street
Wexford Town, Co. Wexford"
5453,Gallagher's Pharmacy,29 Barronstrand Street,,,Waterford City,Co. Waterford,Michael Gallagher Pharmacy Limited,,"29 Barronstrand Street
Waterford City, Co. Waterford"
5454,Gweedore Pharmacy (Healthwise),,,,Bunbeg,Co. Donegal,Beechrock Enterprises Ltd,,"Bunbeg, Co. Donegal"
5455,Barry Griffin Pharmacy,Supervalu Shopping Centre,,,Tramore,Co. Waterford,Catherine Foley Pharmacy Limited,,"Supervalu Shopping Centre
Tramore, Co. Waterford"
5463,Manor Chemists,Main Street,,,Manorhamilton,Co. Leitrim,Geaney's (Manorhamilton) Limited,,"Main Street
Manorhamilton, Co. Leitrim"
5464,Flaherty's Pharmacy,Main Street,,,Oughterard,Co. Galway,Castlelellen Limited,,"Main Street
Oughterard, Co. Galway"
5465,H. Gibbs & Co. Ltd,15 Midleton Street,,,Cobh,Co. Cork,H. Gibbs & Co Ltd,,"15 Midleton Street
Cobh, Co. Cork"
5466,Gilberts Pharmacy Limited,Main Street,,,Manorhamilton,Co. Leitrim,Gilberts Pharmacy Limited,,"Main Street
Manorhamilton, Co. Leitrim"
5467,Haven Pharmacy Gildea's,Main Street,,,Kinnegad,Co. Westmeath,P. J. Gildea Limited,,"Main Street
Kinnegad, Co. Westmeath"
5468,Gilmartin's Pharmacy Limited,Bridge Street,,,Gort,Co. Galway,Gilmartin's Pharmacy Limited,H91 HIK8,"Bridge Street
Gort, Co. Galway H91 HIK8"
5470,Mulholland's Pharmacy Limited,O'Connell Street,,,Birr,Co. Offaly,Mulholland's Pharmacy Limited,,"O'Connell Street
Birr, Co. Offaly"
5471,Kilcoole Pharmacy Limited,23 Main Street,,,Kilcoole,Co. Wicklow,Kilcoole Pharmacy Limited,,"23 Main Street
Kilcoole, Co. Wicklow"
5473,Golden's Pharmacy,Bridge Street,,,Westport,Co. Mayo,Golden's PW Limited,,"Bridge Street
Westport, Co. Mayo"
5475,Gormley's Pharmacy,Main Street,,,Ballyjamesduff,Co. Cavan,Reildon Developers Limited,,"Main Street
Ballyjamesduff, Co. Cavan"
5480,Grant's Pharmacy Wexford,Unit 4b,St. Aidan's Shopping Centre,,Wexford Town,Co. Wexford,Grant's Pharmacy Limited,,"Unit 4b
St. Aidan's Shopping Centre
Wexford Town, Co. Wexford"
5481,LloydsPharmacy,Tesco Shopping Centre,,,Greystones,Co. Wicklow,Lloydspharmacy Ireland Limited,,"Tesco Shopping Centre
Greystones, Co. Wicklow"
5486,A.J. Hallahan Limited,38-39 Grattan Square,,,Dungarvan,Co. Waterford,A. J. Hallahan Limited,,"38-39 Grattan Square
Dungarvan, Co. Waterford"
5488,Hanly's Pharmacy,65 South Street,,,New Ross,Co. Wexford,Hanly's Pharmacy Limited,,"65 South Street
New Ross, Co. Wexford"
5491,Ray Walsh Pharmacy,9 Pearse Street,,,Nenagh,Co. Tipperary,Ray Walsh Pharmacy Limited,,"9 Pearse Street
Nenagh, Co. Tipperary"
5492,Harnett's Pharmacy,41 The Square,,,Listowel,Co. Kerry,Killala Pharmacy Unlimited Company,,"41 The Square
Listowel, Co. Kerry"
5494,D & M Harrington,1 Ashe Street,,,Clonakilty,Co. Cork,Daniel Harrington & Son Limited,,"1 Ashe Street
Clonakilty, Co. Cork"
5495,D & M Harrington,Mill Street,Timoleague,,Bandon,Co. Cork,Daniel Harrington & Son Limited,,"Mill Street
Timoleague
Bandon, Co. Cork"
5502,Tulla Pharmacy Limited,Main Street,Tulla,,Ennis,Co. Clare,Tulla Pharmacy Limited,,"Main Street
Tulla
Ennis, Co. Clare"
5506,Kissane's Pharmacy,Lower Main Street,,,Graiguenamanagh,Co. Kilkenny,J & J Haire & Company Limited,,"Lower Main Street
Graiguenamanagh, Co. Kilkenny"
5507,Heffernan Pharmacy Limited,Main Street,,,Dundrum,Co. Tipperary,Heffernan Pharmacy Limited,,"Main Street
Dundrum, Co. Tipperary"
5508,Hely's Pharmacy ,Main Street,,,Cappoquin,Co. Waterford,Hely's Pharmacy Limited,P51E6C4,"Main Street
Cappoquin, Co. Waterford P51E6C4"
5509,Heneghan's Pharmacy,Main Street,,,Kiltimagh,Co. Mayo,Western PharmAssist Ltd.,,"Main Street
Kiltimagh, Co. Mayo"
5512,Cogaslann,Teeling Street,,,Ballina,Co. Mayo,Patrick Hennigan,,"Teeling Street
Ballina, Co. Mayo"
5513,Moughan's Pharmacy,Cookes Corner,66 Newcastle Road,,Galway City,Co. Galway,Paul Hennigan Limited,,"Cookes Corner
66 Newcastle Road
Galway City, Co. Galway"
5515,Herlihy's Chemist Limited,Crushrod Avenue,,,Drogheda,Co. Louth,Herlihy's Chemist Limited,,"Crushrod Avenue
Drogheda, Co. Louth"
5516,Norman Brookes Pharmacy,29 South Main Street,,,Bandon,Co. Cork,Farscape Ltd,,"29 South Main Street
Bandon, Co. Cork"
5517,Coyles Pharmacy (Castleblayney) Limited,Main Street,,,Castleblayney,Co. Monaghan,Coyles Pharmacy (Castleblayney) Limited,,"Main Street
Castleblayney, Co. Monaghan"
5520,Hickeys Pharmacy,10 Liberty Square,,,Thurles,Co. Tipperary,P. J. Hickey Limited,,"10 Liberty Square
Thurles, Co. Tipperary"
5523,High Cross Pharmacy Limited,High Street,,,Tuam,Co. Galway,High Cross Pharmacy Limited,,"High Street
Tuam, Co. Galway"
5526,Murrays CarePlus Pharmacy,41 Grattan Square,,,Dungarvan,Co. Waterford,Elizabeth Murray Limited  ,,"41 Grattan Square
Dungarvan, Co. Waterford"
5531,Enda Horan Ltd,1 Castle Street,,,Sligo Town,Co. Sligo,Enda Horan Limited,,"1 Castle Street
Sligo Town, Co. Sligo"
5532,Ballymote Pharmacy,Lord Edward Street,,,Ballymote,Co. Sligo,Lennons Pharmacy Ltd,,"Lord Edward Street
Ballymote, Co. Sligo"
5533,Hughes Pharmacy,90-91 Main Street,,,Portlaoise,Co. Laois,M. Hughes & Sons Limited,,"90-91 Main Street
Portlaoise, Co. Laois"
5536,Gary Johnson Pharmacist Ltd,Victoria Cross,,,Cork,Co. Cork,Gary Johnson Pharmacist Ltd,,"Victoria Cross
Cork, Co. Cork"
5537,Mulligan's Pharmacy,68 O'Connell Street,,,Clonmel,Co. Tipperary,Mulligans Chemists (O'Connell Street Limited),,"68 O'Connell Street
Clonmel, Co. Tipperary"
5538,Joyce's Pharmacy,40 Main Street,,,Mallow,Co. Cork,Joyce's Pharmacy Limited,,"40 Main Street
Mallow, Co. Cork"
5543,Your Local Pharmacy,Main Street,,,Newbridge,Co. Kildare,Longs Pharmacies Limited,,"Main Street
Newbridge, Co. Kildare"
5544,Kelly's Pharmacy,Slaney Place,,,Enniscorthy,Co. Wexford,Shopmore Limited,,"Slaney Place
Enniscorthy, Co. Wexford"
5545,Pillbox Pharmacy,Main Street,,,Ballyshannon,Co. Donegal,Rhyannon Ltd,,"Main Street
Ballyshannon, Co. Donegal"
5547,J & M Healy Ltd,1 Market Street,,,Thomastown,Co. Kilkenny,J & M Healy Limited,,"1 Market Street
Thomastown, Co. Kilkenny"
5551,Kennedy's Pharmacy Limited,35 Main Street,,,Bray,Co. Wicklow,Kennedy's Pharmacy Limited,,"35 Main Street
Bray, Co. Wicklow"
5552,O'Connell's Pharmacy,Main Street,,,Borrisoleigh,Co. Tipperary,DFK Pharmacy Limited,,"Main Street
Borrisoleigh, Co. Tipperary"
5553,Kennedy's Pharmacy,78 Main Street,,,Cashel,Co. Tipperary,Geraldine & John Ryan Limited,,"78 Main Street
Cashel, Co. Tipperary"
5554,Haven Pharmacy Kennellys ,6 Castle Street,,,Tralee,Co. Kerry,Elginway Limited,,"6 Castle Street
Tralee, Co. Kerry"
5561,Kilgarriff's Chemists Limited,Vicar Street,,,Tuam,Co. Galway,Kilgarriff's Chemists Limited,,"Vicar Street
Tuam, Co. Galway"
5563,Rosscarbery Pharmacy,West Square,,,Rosscarbery,Co. Cork,Rosscarbery Pharmacy Ltd,,"West Square
Rosscarbery, Co. Cork"
5564,The Medical Hall Limited,56 J.K.L. Street,,,Edenderry,Co. Offaly,Medical Hall Limited,,"56 J.K.L. Street
Edenderry, Co. Offaly"
5565,Kirby's Pharmacy Ltd,3 Main Street,,,Tipperary Town,Co. Tipperary,Kirby's Pharmacy Limited,,"3 Main Street
Tipperary Town, Co. Tipperary"
5566,Shane Kelly Pharmacy,52 Main Street,,,Tipperary Town,Co. Tipperary,Noard Pharmacy Limited,,"52 Main Street
Tipperary Town, Co. Tipperary"
5567,Kissane's Pharmacy,Upper Main Street,,,Graiguenamanagh,Co. Kilkenny,Graiguenamanagh Pharmacy Limited,,"Upper Main Street
Graiguenamanagh, Co. Kilkenny"
5579,McElwee Pharmacy,O'Connell Square,,,Mountmellick,Co. Laois,McElwee Medical Ltd,,"O'Connell Square
Mountmellick, Co. Laois"
5582,O'Brien's Pharmacy,35 Oliver Plunkett Street,,,Mullingar,Co. Westmeath,O'Brien's Pharmacy (Mullingar) Ltd,,"35 Oliver Plunkett Street
Mullingar, Co. Westmeath"
5583,McEvoy's Medical Hall Limited,Main Street,,,Granard,Co. Longford,McEvoy's Medical Hall Limited,,"Main Street
Granard, Co. Longford"
5587,B.F. & M. McGirr (Carnew) Limited,Main Street,,,Carnew,Co. Wicklow,B.F. & M. McGirr (Carnew) Limited,,"Main Street
Carnew, Co. Wicklow"
5588,Donal McGoey Pharmacy Ltd,66 Market Street,,,Ardee,Co. Louth,Donal McGoey Pharmacy Limited,,"66 Market Street
Ardee, Co. Louth"
5589,Mullins CarePlus Pharmacy,216 Upper Salthill,,,Galway City,Co. Galway,Marmaduke Limited,,"216 Upper Salthill
Galway City, Co. Galway"
5590,The Valley Pharmacy,Shopping Centre,,,Ballybofey,Co. Donegal,The Valley Pharmacy Limited,,"Shopping Centre
Ballybofey, Co. Donegal"
5593,McGrath's Pharmacy,The Square,,,Cappawhite,Co. Tipperary,McGrath's Pharmacy (Cappawhite) Limited,,"The Square
Cappawhite, Co. Tipperary"
5595,McGuinness Pharmacy Limited,14 Park Street,,,Dundalk,Co. Louth,McGuinness Pharmacies Limited,,"14 Park Street
Dundalk, Co. Louth"
5596,McGuinness totalhealth Pharmacy,Main Street,,,Roscommon,Co. Roscommon,M.S Mc Guinness Limited,,"Main Street
Roscommon, Co. Roscommon"
